zip,city,county,population
16735,Kane,Mckean,5952
19520,Elverson,Chester,5889
17007,Boiling Springs,Cumberland,5888
17810,Allenwood,Union,5884
19362,Nottingham,Chester,5844
16651,Houtzdale,Clearfield,5818
19543,Morgantown,Berks,5816
15552,Meyersdale,Somerset,5772
19330,Cochranville,Chester,5726
18074,Perkiomenville,Montgomery,5709
18810,Athens,Bradford,5707
16102,New Castle,Lawrence,5694
17527,Gap,Lancaster,5655
17090,Shermans Dale,Perry,5636
19567,Womelsdorf,Berks,5628
19127,Philadelphia,Philadelphia,5610
15478,Smithfield,Fayette,5554
15110,Duquesne,Allegheny,5534
17043,Lemoyne,Cumberland,5503
15222,Pittsburgh,Allegheny,5468
18414,Dalton,Lackawanna,5461
18011,Alburtis,Lehigh,5458
18655,Shickshinny,Luzerne,5441
18041,East Greenville,Montgomery,5429
17370,York Haven,York,5423
17820,Catawissa,Columbia,5405
16673,Roaring Spring,Blair,5385
19102,Philadelphia,Philadelphia,5335
19066,Merion Station,Montgomery,5319
17560,New Providence,Lancaster,5287
17066,Mount Union,Huntingdon,5284
16833,Curwensville,Clearfield,5265
18610,Blakeslee,Monroe,5247
17509,Christiana,Lancaster,5246
16314,Cochranton,Crawford,5240
17233,Mc Connellsburg,Fulton,5214
16229,Freeport,Armstrong,5203
16433,Saegertown,Crawford,5193
15530,Berlin,Somerset,5167
18507,Moosic,Lackawanna,5159
15320,Carmichaels,Greene,5157
18424,Gouldsboro,Wayne,5148
17053,Marysville,Perry,5135
17922,Auburn,Schuylkill,5111
17529,Gordonville,Lancaster,5100
18661,White Haven,Luzerne,5055
15330,Eighty Four,Washington,5039
16025,Chicora,Butler,5035
17004,Belleville,Mifflin,5016
15135,Mc Keesport,Allegheny,5004
18519,Dickson City,Lackawanna,4997
15824,Brockway,Jefferson,4962
18054,Green Lane,Montgomery,4909
18452,Peckville,Lackawanna,4909
15342,Houston,Washington,4892
16159,West Middlesex,Mercer,4885
17516,Conestoga,Lancaster,4875
15626,Delmont,Westmoreland,4854
17724,Canton,Bradford,4840
16316,Conneaut Lake,Crawford,4821
18517,Taylor,Lackawanna,4807
16630,Cresson,Cambria,4778
15681,Saltsburg,Indiana,4773
17562,Paradise,Lancaster,4770
19539,Mertztown,Berks,4740
18101,Allentown,Lehigh,4738
17051,Mc Veytown,Mifflin,4729
15909,Johnstown,Cambria,4703
17948,Mahanoy City,Schuylkill,4702
17520,East Petersburg,Lancaster,4688
16827,Boalsburg,Centre,4686
19547,Oley,Berks,4684
15033,Donora,Washington,4675
17841,Mc Clure,Snyder,4666
15636,Harrison City,Westmoreland,4658
19405,Bridgeport,Montgomery,4648
16424,Linesville,Crawford,4641
17728,Cogan Station,Lycoming,4636
18419,Factoryville,Wyoming,4632
16121,Farrell,Mercer,4632
17814,Benton,Columbia,4604
16828,Centre Hall,Centre,4603
19504,Barto,Berks,4599
19541,Mohrsville,Berks,4598
17084,Reedsville,Mifflin,4580
16037,Harmony,Butler,4558
16947,Troy,Bradford,4531
17048,Lykens,Dauphin,4530
19551,Robesonia,Berks,4524
15714,Northern Cambria,Cambria,4509
17752,Montgomery,Lycoming,4503
18334,Long Pond,Monroe,4471
16023,Cabot,Butler,4462
17301,Abbottstown,Adams,4462
16239,Marienville,Forest,4458
17501,Akron,Lancaster,4450
18255,Weatherly,Carbon,4411
16056,Saxonburg,Butler,4403
18977,Washington Crossing,Bucks,4395
17954,Minersville,Schuylkill,4393
17068,New Bloomfield,Perry,4391
19031,Flourtown,Montgomery,4390
19373,Thornton,Delaware,4389
15045,Glassport,Allegheny,4338
15419,California,Washington,4333
18853,Wyalusing,Bradford,4332
17018,Dauphin,Dauphin,4299
17062,Millerstown,Perry,4289
18421,Forest City,Susquehanna,4289
19094,Woodlyn,Delaware,4280
15323,Claysville,Washington,4265
16242,New Bethlehem,Clarion,4259
15059,Midland,Beaver,4227
16232,Knox,Clarion,4199
17960,New Ringgold,Schuylkill,4183
15431,Dunbar,Fayette,4167
16053,Renfrew,Butler,4125
15834,Emporium,Cameron,4107
18426,Greentown,Pike,4091
17563,Peach Bottom,Lancaster,4075
16693,Williamsburg,Blair,4066
17324,Gardners,Adams,4061
17846,Millville,Columbia,4052
16625,Claysburg,Blair,4044
16875,Spring Mills,Centre,4042
16749,Smethport,Mckean,4039
17372,York Springs,Adams,4028
19529,Kempton,Berks,4028
19029,Essington,Delaware,4027
16423,Lake City,Erie,4018
15610,Acme,Westmoreland,4016
15461,Masontown,Fayette,4014
18343,Mount Bethel,Northampton,4010
15312,Avella,Washington,4009
15144,Springdale,Allegheny,4002
19022,Crum Lynne,Delaware,3986
17572,Ronks,Lancaster,3985
17028,Grantville,Dauphin,3982
